Padstack Used	Location
ack name in the Bounding Box drawn in the mitikas.mcm file are listed below.
Padstack Used	Location
408.	"L08-L10"	(-10888.0 17.0)
409.	"L08-L10"	(-10015.0 836.0)
410.	"L04-L05"	(-10075.0 1060.0)
411.	"L04-L05"	(-10355.0 645.0)
412.	"SMALL_PTH"	(-10500.0 500.0)
413.	"L06-L07"	(-10355.0 645.0)
414.	"L07-L08"	(-10250.0 620.0)
415.	"L08-L09"	(-10315.0 705.0)
416.	"L09-L10"	(-10230.0 770.0)
417.	"L04-L05"	(-9498.0 737.0)
418.	"SMALL_PTH"	(-9500.0 500.0)
419.	"L04-L05"	(-9490.0 -15655.0)
420.	"L04-L05"	(-8900.0 -16570.0)
421.	"L01-L02"	(-8625.0 -16725.0)
422.	"L08-L10"	(-9227.0 -16224.0)
423.	"L08-L10"	(-8930.0 -16234.0)
424.	"L02-L03"	(-8500.0 -15705.06)
425.	"L04-L05"	(-8500.0 -15705.06)
426.	"L03-L04"	(-8571.42 -15776.48)
427.	"L01-L02"	(-8571.42 -15776.48)
428.	"SMALL_PTH"	(-8500.0 -15500.0)
429.	"L07-L08"	(-8591.92 -15761.63)
430.	"L08-L09"	(-8489.39 -15779.31)
431.	"L09-L10"	(-8500.0 -15881.84)
432.	"L06-L07"	(-8500.0 -15705.06)
433.	"L09-L10"	(-9500.0 -16881.84)
434.	"L08-L09"	(-9489.39 -16779.31)
435.	"L09-L10"	(-9118.16 -16500.0)
436.	"L08-L09"	(-9220.69 -16489.39)
437.	"L07-L08"	(-9238.37 -16591.92)
438.	"L06-L07"	(-9294.94 -16500.0)
439.	"L01-L02"	(-9366.36 -16571.42)
440.	"L02-L03"	(-9294.94 -16500.0)
441.	"L04-L05"	(-9294.94 -16500.0)
442.	"L02-L03"	(-9500.0 -16294.94)
443.	"L07-L08"	(-9408.08 -16238.37)
444.	"L09-L10"	(-9500.0 -16118.16)
445.	"L08-L09"	(-9510.61 -16220.69)
446.	"L02-L03"	(-9500.0 -16705.06)
447.	"L03-L04"	(-9366.36 -16571.42)
448.	"L08-L09"	(-9489.39 -15779.31)
449.	"L09-L10"	(-9500.0 -15881.84)
450.	"L08-L09"	(-8489.39 -16779.31)
451.	"L09-L10"	(-8881.84 -16500.0)
452.	"L07-L08"	(-8761.63 -16408.08)
453.	"L08-L09"	(-8779.31 -16510.61)
454.	"L07-L08"	(-8408.08 -16238.37)
455.	"L08-L09"	(-8510.61 -16220.69)
456.	"L09-L10"	(-8500.0 -16118.16)
457.	"L09-L10"	(-8500.0 -16881.84)
458.	"L07-L08"	(-8591.92 -16761.63)
459.	"L03-L04"	(-9254.0 -14355.0)
460.	"L07-L08"	(-9250.0 -14380.0)
461.	"L07-L08"	(-9380.0 -14750.0)
462.	"L03-L04"	(-9254.0 -14645.0)
463.	"L01-L02"	(-9544.0 -14645.0)
464.	"L03-L04"	(-9544.0 -14645.0)
465.	"L06-L07"	(-9355.0 -14355.0)
466.	"L04-L05"	(-9355.0 -14355.0)
467.	"L04-L05"	(-9355.0 -14645.0)
468.	"L06-L07"	(-9355.0 -14645.0)
469.	"L08-L09"	(-9295.0 -14685.0)
470.	"L09-L10"	(-9230.0 -14770.0)
471.	"L01-L02"	(-9254.0 -14645.0)
472.	"L02-L03"	(-9355.0 -14645.0)
473.	"L01-L02"	(-9254.0 -14355.0)
474.	"L02-L03"	(-9355.0 -14355.0)
475.	"L01-L02"	(-9544.0 -14355.0)
476.	"L03-L04"	(-9544.0 -14355.0)
477.	"L09-L10"	(-8500.0 -15118.16)
478.	"L07-L08"	(-8408.08 -15238.37)
479.	"L06-L07"	(-8500.0 -15294.94)
480.	"L01-L02"	(-8776.48 -15571.42)
481.	"L03-L04"	(-8776.48 -15571.42)
482.	"L02-L03"	(-8705.06 -15500.0)
483.	"L04-L05"	(-8705.06 -15500.0)
484.	"L02-L03"	(-8500.0 -15294.94)
485.	"L03-L04"	(-8571.42 -15366.36)
486.	"L01-L02"	(-8571.42 -15366.36)
487.	"L04-L05"	(-8500.0 -15294.94)
488.	"L07-L08"	(-8761.63 -15408.08)
489.	"L08-L09"	(-8775.77 -15514.14)
490.	"L09-L10"	(-8881.84 -15500.0)
491.	"L04-L05"	(-8294.94 -15500.0)
492.	"L02-L03"	(-8294.94 -15500.0)
493.	"L01-L02"	(-8366.36 -15571.42)
494.	"L03-L04"	(-8366.36 -15571.42)
495.	"L06-L07"	(-8294.94 -15500.0)
496.	"L06-L07"	(-8705.06 -15500.0)
497.	"L08-L09"	(-8510.61 -15220.69)
498.	"L04-L05"	(-8320.0 -15080.0)
499.	"L08-L09"	(-8295.0 -14685.0)
500.	"L07-L08"	(-8380.0 -14750.0)
501.	"L07-L08"	(-8750.0 -14620.0)
502.	"L09-L10"	(-8770.0 -14770.0)
503.	"L08-L09"	(-8690.0 -14705.0)
504.	"L09-L10"	(-9500.0 -15118.16)
505.	"L09-L10"	(-9118.16 -15500.0)
506.	"L08-L09"	(-9224.23 -15485.86)
507.	"L07-L08"	(-9238.37 -15591.92)
508.	"L08-L09"	(-9510.61 -15220.69)
509.	"L07-L08"	(-9408.08 -15238.37)
510.	"L07-L08"	(-9386.0 -15002.0)
511.	"L06-L07"	(-9250.0 -14999.0)
512.	"SMALL_PTH"	(-9000.0 -15000.0)
513.	"L04-L05"	(-8777.0 -15001.0)
514.	"L04-L05"	(-9000.0 -14125.0)
