Reference_name,Ubump_inst,X_origin,Y_origin,Orientation,Port_name,Net_name
UBUMP,ma_vccfwdio_3,266.56,680.22,R0,vccfwdio,vccfwdio
UBUMP,ma_vccfwdio_4,330.2,680.22,R0,vccfwdio,vccfwdio
UBUMP,ma_vccio_22,43.82,712.04,R0,vccio,vccio
UBUMP,ma_ucie64b_rxdata[5],107.46,712.04,R0,ma_ucie64b_rxdata[5],ma_ucie64b_rxdata[5]
UBUMP,ma_ucie64b_rxdata[22],171.1,712.04,R0,ma_ucie64b_rxdata[22],ma_ucie64b_rxdata[22]
UBUMP,ma_vccio_23,234.74,712.04,R0,vccio,vccio
UBUMP,ma_ucie64b_rxdata[42],298.38,712.04,R0,ma_ucie64b_rxdata[42],ma_ucie64b_rxdata[42]
UBUMP,ma_vss_23,362.02,712.04,R0,vss,vss
UBUMP,ma_vss_24,12,743.86,R0,vss,vss
UBUMP,ma_ucie64b_rxdata[4],75.64,743.86,R0,ma_ucie64b_rxdata[4],ma_ucie64b_rxdata[4]
UBUMP,ma_ucie64b_rxdata[21],139.28,743.86,R0,ma_ucie64b_rxdata[21],ma_ucie64b_rxdata[21]
UBUMP,ma_vss_25,202.92,743.86,R0,vss,vss
UBUMP,ma_ucie64b_rxdata[41],266.56,743.86,R0,ma_ucie64b_rxdata[41],ma_ucie64b_rxdata[41]
UBUMP,ma_ucie64b_rxdata[58],330.2,743.86,R0,ma_ucie64b_rxdata[58],ma_ucie64b_rxdata[58]
UBUMP,ma_vccio_24,43.82,775.68,R0,vccio,vccio
UBUMP,ma_ucie64b_rxdata[6],107.46,775.68,R0,ma_ucie64b_rxdata[6],ma_ucie64b_rxdata[6]
UBUMP,ma_ucie64b_rxdata[23],171.1,775.68,R0,ma_ucie64b_rxdata[23],ma_ucie64b_rxdata[23]
UBUMP,ma_ucie64b_rxtrk,234.74,775.68,R0,ma_ucie64b_rxtrk,ma_ucie64b_rxtrk
UBUMP,ma_ucie64b_rxdata[43],298.38,775.68,R0,ma_ucie64b_rxdata[43],ma_ucie64b_rxdata[43]
UBUMP,ma_ucie64b_rxdata[59],362.02,775.68,R0,ma_ucie64b_rxdata[59],ma_ucie64b_rxdata[59]
UBUMP,ma_vss_26,12,807.5,R0,vss,vss
UBUMP,ma_vss_27,75.64,807.5,R0,vss,vss
UBUMP,ma_ucie64b_rxdata[20],139.28,807.5,R0,ma_ucie64b_rxdata[20],ma_ucie64b_rxdata[20]
UBUMP,ma_ucie64b_rxckp,202.92,807.5,R0,ma_ucie64b_rxckp,ma_ucie64b_rxckp
UBUMP,ma_ucie64b_rxdata[40],266.56,807.5,R0,ma_ucie64b_rxdata[40],ma_ucie64b_rxdata[40]
UBUMP,ma_ucie64b_rxdata[57],330.2,807.5,R0,ma_ucie64b_rxdata[57],ma_ucie64b_rxdata[57]
UBUMP,ma_vss_28,43.82,839.32,R0,vss,vss
UBUMP,ma_ucie64b_rxdata[7],107.46,839.32,R0,ma_ucie64b_rxdata[7],ma_ucie64b_rxdata[7]
UBUMP,ma_vss_29,171.1,839.32,R0,vss,vss
UBUMP,ma_ucie64b_rxvld,234.74,839.32,R0,ma_ucie64b_rxvld,ma_ucie64b_rxvld
UBUMP,ma_ucie64b_rxdata[44],298.38,839.32,R0,ma_ucie64b_rxdata[44],ma_ucie64b_rxdata[44]
UBUMP,ma_ucie64b_rxdata[60],362.02,839.32,R0,ma_ucie64b_rxdata[60],ma_ucie64b_rxdata[60]
UBUMP,ma_vss_30,12,871.14,R0,vss,vss
UBUMP,ma_ucie64b_rxdata[3],75.64,871.14,R0,ma_ucie64b_rxdata[3],ma_ucie64b_rxdata[3]
UBUMP,ma_ucie64b_rxdata [19],139.28,871.14,R0,ma_ucie64b_rxdata [19],ma_ucie64b_rxdata [19]
UBUMP,ma_ucie64b_rxckn,202.92,871.14,R0,ma_ucie64b_rxckn,ma_ucie64b_rxckn
UBUMP,ma_vss_31,266.56,871.14,R0,vss,vss
UBUMP,ma_ucie64b_rxdata[56],330.2,871.14,R0,ma_ucie64b_rxdata[56],ma_ucie64b_rxdata[56]
UBUMP,ma_vss_32,43.82,902.96,R0,vss,vss
UBUMP,ma_ucie64b_rxdata[8],107.46,902.96,R0,ma_ucie64b_rxdata[8],ma_ucie64b_rxdata[8]
UBUMP,ma_ucie64b_rxdata[24],171.1,902.96,R0,ma_ucie64b_rxdata[24],ma_ucie64b_rxdata[24]
UBUMP,ma_ucie64b_rxvldRD,234.74,902.96,R0,ma_ucie64b_rxvldRD,ma_ucie64b_rxvldRD
UBUMP,ma_ucie64b_rxdata[45],298.38,902.96,R0,ma_ucie64b_rxdata[45],ma_ucie64b_rxdata[45]
UBUMP,ma_vss_33,362.02,902.96,R0,vss,vss
UBUMP,ma_vdd1p8_2,12,934.78,R0,vdd1p8,vdd1p8
